request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,The requested amount of 1017.60 USD is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_178,2938.1,affordable_now,full_payment,2024-12-07:2938.10,2024-12-07,none,The requested amount of 2938.10 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_179,27379806.09,affordable_later,wait,2025-05-15:41648000.00,2025-05-15,none,"The requested amount of 41648000.00 IDR is not safe to pay today, but the forecast indicates that full payment can be made on 2025-05-15 without breaching the user's minimum balance."
request_180,0.0,affordable_later,wait,2026-07-07:66500.00,2026-07-07,none,"The requested amount of 66500.00 INR is not safe to pay today, but the forecast indicates that full payment can be made on 2026-07-07 without breaching the user's minimum balance."
request_181,682.91,not_affordable,not_recommended,none,,none,The requested amount of 5059.20 USD cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,none,The requested amount of 65714.00 ZAR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_183,26866000.0,affordable_with_plan,full_payment,2026-04-07:26866000.00,2026-04-08,reduce_to:event_16815:365560.00|stop:event_16814|reduce_to:event_16816:342000.00,The requested amount of 26866000.00 IDR becomes affordable with the recommended spending changes while maintaining the user's minimum balance.
request_184,31556.86,not_affordable,not_recommended,none,,none,The requested amount of 251900.00 INR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_185,617.84,affordable_with_plan,partial_payment,2025-11-06:617.84|2025-11-15:639.46,2025-11-15,none,"The full amount of 1257.30 EUR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_186,17278.78,affordable_with_plan,partial_payment,2026-01-03:17278.78|2026-01-15:9275.22,2026-01-15,none,"The full amount of 26554.00 ZAR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_187,47153.7,affordable_with_plan,partial_payment,2024-09-05:47153.70|2024-09-15:140346.30,2024-09-15,none,"The full amount of 187500.00 INR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_188,354.3,not_affordable,not_recommended,none,,none,The requested amount of 2464.00 EUR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,The requested amount of 488.40 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_190,732.72,affordable_with_plan,partial_payment,2024-12-06:732.72|2024-12-15:1824.78,2024-12-15,none,"The full amount of 2557.50 EUR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,The requested amount of 664.40 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_192,344.81,not_affordable,not_recommended,none,2026-05-24,none,The requested amount of 2046.00 USD cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_193,186.56,affordable_with_plan,partial_payment,2024-03-07:186.56|2024-03-15:1025.64,2024-03-15,none,"The full amount of 1212.20 EUR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_194,45429.21,affordable_later,wait,2025-08-15:132800.00,2025-08-15,none,"The requested amount of 132800.00 INR is not safe to pay today, but the forecast indicates that full payment can be made on 2025-08-15 without breaching the user's minimum balance."
request_195,1066.98,affordable_with_plan,partial_payment,2026-01-06:1066.98|2026-01-07:103.42,2026-01-07,none,"The full amount of 1170.40 EUR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,The requested amount of 762.30 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_197,0.0,affordable_later,wait,2025-11-06:50939000.00,2025-11-06,none,"The requested amount of 50939000.00 IDR is not safe to pay today, but the forecast indicates that full payment can be made on 2025-11-06 without breaching the user's minimum balance."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,The requested amount of 185800.00 INR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_199,23674000.0,affordable_now,full_payment,2024-09-04:23674000.00,2024-09-04,none,The requested amount of 23674000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,none,The requested amount of 21717000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.00,2026-04-03,none,The requested amount of 23997000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,none,The requested amount of 123900.00 INR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_203,1442.1,affordable_now,full_payment,2025-05-07:1442.10,2025-05-07,none,The requested amount of 1442.10 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_204,0.0,affordable_later,wait,2026-01-05:588.74,2026-01-05,none,"The requested amount of 588.74 EUR is not safe to pay today, but the forecast indicates that full payment can be made on 2026-01-05 without breaching the user's minimum balance."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,The requested amount of 10621000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_206,1404.7,affordable_now,full_payment,2025-08-03:1404.70,2025-08-03,none,The requested amount of 1404.70 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_207,9912.71,affordable_with_plan,partial_payment,2026-07-05:9912.71|2026-07-06:1917.29,2026-07-06,none,"The full amount of 11830.00 ZAR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_208,3866412.31,affordable_with_plan,partial_payment,2024-06-07:3866412.31|2024-06-08:546587.69,2024-06-08,none,"The full amount of 4413000.00 IDR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_209,3418.88,not_affordable,not_recommended,none,,none,The requested amount of 56914.00 ZAR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_210,1204.83,affordable_with_plan,partial_payment,2026-04-06:1204.83|2026-04-07:155.19,2026-04-07,none,"The full amount of 1360.02 USD cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_211,562.13,affordable_with_plan,partial_payment,2024-09-03:562.13|2024-09-15:1226.47,2024-09-15,none,"The full amount of 1788.60 EUR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_212,9892494.22,not_affordable,not_recommended,none,,none,The requested amount of 71934000.00 IDR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_213,3362.4,affordable_now,full_payment,2026-01-07:3362.40,2026-01-07,none,The requested amount of 3362.40 USD is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_214,69750.0,affordable_with_plan,full_payment,2024-12-04:69750.00,2024-12-05,reduce_to:event_19671:4220.00|stop:event_19670|reduce_to:event_19743:4395.00,The requested amount of 69750.00 INR becomes affordable with the recommended spending changes while maintaining the user's minimum balance.
request_215,29986.0,affordable_now,full_payment,2025-05-06:29986.00,2025-05-06,none,The requested amount of 29986.00 ZAR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_216,776.76,affordable_later,wait,2026-08-15:3332.40,2026-08-15,none,"The requested amount of 3332.40 USD is not safe to pay today, but the forecast indicates that full payment can be made on 2026-08-15 without breaching the user's minimum balance."
request_217,24831.88,affordable_with_plan,partial_payment,2024-03-05:24831.88|2024-03-15:12348.12,2024-03-15,none,"The full amount of 37180.00 ZAR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_218,28952095.17,affordable_with_plan,partial_payment,2025-08-07:28952095.17|2025-08-15:32189904.83,2025-08-15,none,"The full amount of 61142000.00 IDR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_219,0.0,affordable_later,wait,2026-04-05:1673.10,2026-04-05,none,"The requested amount of 1673.10 EUR is not safe to pay today, but the forecast indicates that full payment can be made on 2026-04-05 without breaching the user's minimum balance."
request_220,298.75,not_affordable,not_recommended,none,2024-08-15,none,The requested amount of 3118.50 EUR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,none,The requested amount of 109800.00 INR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.00,2026-01-05,none,The requested amount of 34078.00 ZAR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,The requested amount of 898.70 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_224,10327000.0,affordable_now,full_payment,2025-02-04:10327000.00,2025-02-04,none,The requested amount of 10327000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_225,13210234.95,affordable_with_plan,partial_payment,2026-07-06:13210234.95|2026-07-15:8848765.05,2026-07-15,none,"The full amount of 22059000.00 IDR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000.00,2024-12-03,none,The requested amount of 157000.00 INR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_227,23304.01,not_affordable,not_recommended,none,,none,The requested amount of 259700.00 INR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_228,0.0,not_affordable,not_recommended,none,,none,The requested amount of 63327000.00 IDR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_229,658.52,affordable_later,wait,2024-03-15:1526.80,2024-03-15,none,"The requested amount of 1526.80 EUR is not safe to pay today, but the forecast indicates that full payment can be made on 2024-03-15 without breaching the user's minimum balance."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,The requested amount of 3537.60 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_231,35359.3,affordable_with_plan,partial_payment,2026-01-03:35359.30|2026-01-04:346.70,2026-01-04,none,"The full amount of 35706.00 ZAR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_232,0.0,not_affordable,not_recommended,none,,none,The requested amount of 1970.10 EUR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_233,0.0,affordable_later,wait,2025-11-08:6241000.00,2025-11-08,none,"The requested amount of 6241000.00 IDR is not safe to pay today, but the forecast indicates that full payment can be made on 2025-11-08 without breaching the user's minimum balance."
request_234,428.85,affordable_with_plan,partial_payment,2026-07-04:428.85|2026-07-15:784.45,2026-07-15,none,"The full amount of 1213.30 EUR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,The requested amount of 967.20 USD is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_236,7311958.61,not_affordable,not_recommended,none,2025-04-15,none,The requested amount of 52383000.00 IDR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.00,2026-04-05,none,The requested amount of 23826000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_238,663.6,affordable_now,full_payment,2024-12-07:663.60,2024-12-07,none,The requested amount of 663.60 USD is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_239,0.0,affordable_later,wait,2025-05-05:642.00,2025-05-05,none,"The requested amount of 642.00 USD is not safe to pay today, but the forecast indicates that full payment can be made on 2025-05-05 without breaching the user's minimum balance."
request_240,0.0,not_affordable,not_recommended,none,,none,The requested amount of 101200.00 INR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_241,21052000.0,affordable_now,full_payment,2024-03-03:21052000.00,2024-03-03,none,The requested amount of 21052000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_242,0.0,not_affordable,not_recommended,none,,none,The requested amount of 1966.80 EUR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.00,2026-07-07,none,The requested amount of 17468.00 ZAR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_244,0.0,affordable_later,wait,2024-06-05:49918.00,2024-06-05,none,"The requested amount of 49918.00 ZAR is not safe to pay today, but the forecast indicates that full payment can be made on 2024-06-05 without breaching the user's minimum balance."
request_245,42576.58,affordable_with_plan,partial_payment,2025-11-06:42576.58|2025-11-15:85923.42,2025-11-15,none,"The full amount of 128500.00 INR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_246,64086.0,affordable_now,full_payment,2026-04-03:64086.00,2026-04-03,none,The requested amount of 64086.00 ZAR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,The requested amount of 1059.30 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_248,992.74,not_affordable,not_recommended,none,,none,The requested amount of 1965.60 USD cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_249,212.03,affordable_later,wait,2026-01-15:643.20,2026-01-15,none,"The requested amount of 643.20 USD is not safe to pay today, but the forecast indicates that full payment can be made on 2026-01-15 without breaching the user's minimum balance."
request_250,18066.34,not_affordable,not_recommended,none,2025-02-15,none,The requested amount of 124278.00 ZAR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_251,770.89,affordable_with_plan,partial_payment,2025-05-03:770.89|2025-05-04:742.71,2025-05-04,none,"The full amount of 1513.60 EUR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_252,8178062.39,affordable_later,wait,2026-08-15:28082000.00,2026-08-15,none,"The requested amount of 28082000.00 IDR is not safe to pay today, but the forecast indicates that full payment can be made on 2026-08-15 without breaching the user's minimum balance."
request_253,1826.75,affordable_later,wait,2024-03-15:2840.20,2024-03-15,none,"The requested amount of 2840.20 EUR is not safe to pay today, but the forecast indicates that full payment can be made on 2024-03-15 without breaching the user's minimum balance."
request_254,1036.27,affordable_with_plan,partial_payment,2025-08-04:1036.27|2025-08-15:2498.93,2025-08-15,none,"The full amount of 3535.20 USD cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.00,2026-04-06,none,The requested amount of 3345000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_256,0.0,affordable_later,wait,2024-06-04:218700.00,2024-06-04,none,"The requested amount of 218700.00 INR is not safe to pay today, but the forecast indicates that full payment can be made on 2024-06-04 without breaching the user's minimum balance."
request_257,576.6,affordable_with_plan,partial_payment,2025-11-05:576.60|2025-11-15:775.80,2025-11-15,none,"The full amount of 1352.40 USD cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,The requested amount of 1113.60 USD is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_259,499.96,affordable_later,wait,2024-09-15:935.00,2024-09-15,none,"The requested amount of 935.00 EUR is not safe to pay today, but the forecast indicates that full payment can be made on 2024-09-15 without breaching the user's minimum balance."
request_260,12397091.14,affordable_with_plan,partial_payment,2025-02-06:12397091.14|2025-03-15:39681908.86,2025-03-15,none,"The full amount of 52079000.00 IDR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,The requested amount of 1830.40 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000.00,2024-12-05,none,The requested amount of 9236000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_263,11112.26,not_affordable,not_recommended,none,2025-07-15,none,The requested amount of 51546.00 ZAR cannot be safely paid within the available forecast and payment options without breaching the user's minimum balance.
request_264,37345.67,affordable_with_plan,partial_payment,2026-04-04:37345.67|2026-04-15:73954.33,2026-04-15,none,"The full amount of 111300.00 INR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970.00,2024-03-06,none,The requested amount of 45970.00 INR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_266,935.0,affordable_now,full_payment,2025-08-03:935.00,2025-08-03,none,The requested amount of 935.00 EUR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
request_267,1906.11,affordable_with_plan,partial_payment,2026-01-05:1906.11|2026-01-06:18.89,2026-01-06,none,"The full amount of 1925.00 EUR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_268,1148.52,affordable_later,wait,2024-06-15:2426.60,2024-06-15,none,"The requested amount of 2426.60 EUR is not safe to pay today, but the forecast indicates that full payment can be made on 2024-06-15 without breaching the user's minimum balance."
request_269,0.0,affordable_later,wait,2025-11-05:15490.00,2025-11-05,none,"The requested amount of 15490.00 ZAR is not safe to pay today, but the forecast indicates that full payment can be made on 2025-11-05 without breaching the user's minimum balance."
request_270,265.15,affordable_later,wait,2026-08-20:3028.80,2026-08-20,none,"The requested amount of 3028.80 USD is not safe to pay today, but the forecast indicates that full payment can be made on 2026-08-20 without breaching the user's minimum balance."
request_271,27153.88,affordable_later,wait,2024-09-15:91300.00,2024-09-15,none,"The requested amount of 91300.00 INR is not safe to pay today, but the forecast indicates that full payment can be made on 2024-09-15 without breaching the user's minimum balance."
request_272,6976255.18,affordable_with_plan,partial_payment,2025-02-05:6976255.18|2025-02-15:6608744.82,2025-02-15,none,"The full amount of 13585000.00 IDR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_273,11982206.07,affordable_with_plan,partial_payment,2026-04-07:11982206.07|2026-04-15:3878793.93,2026-04-15,none,"The full amount of 15861000.00 IDR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_274,2652.35,affordable_with_plan,partial_payment,2024-12-04:2652.35|2024-12-05:61.35,2024-12-05,none,"The full amount of 2713.70 EUR cannot be safely paid today, but a partial payment followed by the remaining balance is feasible."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000.00,2025-05-06,none,The requested amount of 15884000.00 IDR is affordable now without breaching the user's minimum balance. Recommended method: full_payment.
